,abstract,authors
10,"Distributed Denial of Service attacks have recently emerged as one of the most potent, if not the greatest, weaknesses of the Internet. Previous solutions for this problem try to traceback to the exact origin of the attack by requiring the participation of all routers. For many reasons this requirement is impractical. In the presence of non-participating routers most of the proposed schemes either fail in reconstructing the attack path or end up with an approximate location of the attacker. We propose Hierarchical IP Traceback (HIT), a hierarchical approach to address this issue. HIT has significant improvements over other works in several dimensions: (1) with just a few tens of packets, HIT enables the victim to reconstruct the attack graph, an improvement of 2-3 orders of magnitude when compared to previous schemes; (2) HIT scales to large distributed attacks with thousands of attacks; (3) owing to its hierarchical nature, the reconstruction takes only tens of seconds.","['Arjan Durresi', 'Vamsi Paruchuri']"
13,"Increasing energy consumption of commercial buildings has motivated numerous energy tracking and monitoring systems in the recent years. A particular area that is less explored in this domain is that of energy apportionment whereby total energy usage of a shared space such as a building is disaggregated to attribute it to an individual occupant. This particular scenario of individual apportionment is important for increased transparency in the actual energy consumption of shared living spaces in commercial buildings e.g. hotels, student dormitories and hospitals amongst others. Accurate energy accounting is a difficult problem to solve using only a single smart meter. In this paper, we present a novel, scalable and a low cost energy apportionment system called WattShare that builds upon our EnergyLens architecture, where data from a common electricity meter and smartphones (carried by the occupants) is fused, and then used for detailed energy disaggregation. This information is then used to measure the room-level energy consumption. We evaluate WattShare using a week long deployment conducted in a student dormitory in a campus in India. We show that WattShare is able to disaggregate the total energy usage from a single smart meter to individual rooms with an average precision of 96.42% and average recall of 94.96%. WattShare achieves 86.42% energy apportionment accuracy which increases to 94.57% when an outlier room is removed.","['Shailja Thakur', 'Manaswi Saha', 'Amarjeet Singh', 'Yuvraj Agarwal']"
1,"Integration of many functions in mobile devices often results in the insufficiency of computing resources and security problems. We utilize multiple computing modules distributed in the environment as external resources, and call this processor network system “UMP (Ubiquitous Multi Processor) system.” In our previous research, the basic architecture of a UMP system and its communication theory were verified. This paper evaluates the correlation between data granularity and system performance for applications with variable data granularity and verifies the usefulness of these parameters in dynamic scheduling necessary to construct intelligent systems. A JPEG encoding application was evaluated on the UMP system with six sub-functional modules. Optimization of data granularity shows 180% improvement of system performance. The experimental result shows that data granularity of inter-PE communication could be an important parameter in optimizing the system architecture and dynamic scheduling. Moreover, the result shows the possibility of further performance improvement through optimization of data granularity by focusing on individual modules.","['Masayuki Moriguchi', 'Arata Shinozaki', 'Takayuki Nakatomi', 'Mitsunori Kubo', 'Minyi Guo']"
4,"Just as special purpose computers and mainframes grew into the generalpurpose personal computers we use everyday, special purpose industrialrobots are evolving into more general purpose personal robots. Asrobots become more capable and universal, their applications are lesswell-defined or even unknown at design time. We will have to designrobots for classes of tasks rather than specific applications. Havingguidelines for how to best organize, interface, and implement robotsystems and reason about trade-offs, as we do in computerarchitecture, will become crucial for success. In this paper weintroduce and adapt some useful notions and principles from computerarchitecture to robot systems architecture. We argue that notions suchas locality of reference, balanced architectures, and boundedness (interms of IO, memory, and CPU) can be leveraged in robot systemsdesign, and in particular, in the design of distributed robot systems.","[""Keith O'Hara""]"
16,"In this paper, we propose a semi-closed microchip which can realize the probe type manipulation in the microchip with the internal environment sealed off from the external environment. Long-term experiments can be conducted for in-situ culture and analysis of cells by the semi-closed microchip. The semi-closed microchip has a bath in the middle of microchannel to allow the insertion of micropipettes into the microchip. The bath is sealed off by thin oil film to prevent the evaporation of the solution in the bath. The seal by the oil film can maintain even if micropipettes are inserted into the bath and pulled out from the bath because the oil film can fill the hole by its surface tension. The seal by the oil film was evaluated by measuring the weight of the bath after 12/24 hours. To use the semi-closed microchip for cell culture and cell analysis, the exchange of the solution in the bath was demonstrated. It was also demonstrated that the cell fixation with the thermo sensitive gel in the proposed semi-closed microchip by fabricating the ITO electrodes as heaters in the bath. Cell culture and the target cell harvesting were conducted by the semi-closed microchip. The proposed semi-closed microchip can be used for cell culture, cell analysis and cell harvesting under a microscope as the biological applications for single cell analysis.","['Masaru Takeuchi', 'Masahiro Nakajima', 'Toshio Fukuda']"
9,"A new way to improve the classification rate of an EEG-based brain-computer interface (BCI) could be to reconstruct the brain sources of EEG and to apply BCI methods to these derived sources instead of raw measured electrode potentials. EEG source reconstruction methods are based on electrophysiological information that could improve the discrimination between BCI tasks. In this paper, we present an EEG source reconstruction method for BCI. The results are compared with results from raw electrode potentials to enable direct evaluation of the method. Features are based on frequency power change and Bereitschaft potential. The features are ranked with mutual information before being fed to a proximal support vector machine. The dataset IV of the BCI competition II and data from four subjects serve as test data. Results show that the EEG inverse solution improves the classification rate and can lead to results comparable to the best currently known methods.","['Quentin Noirhomme', 'Richard Kitney', 'Benoît Macq']"
8,"This paper describes a study of the effects of variation of synaptic connectivity in a thalamo-cortical circuitry using a neural mass model. The oscillatory behaviour of the model output is assessed within the alpha frequency band. The model presented here is a modification of an existing model involving the introduction of biologically plausible synaptic connectivities as well as synaptic structure. Our goal is to study altered event related desynchronisation/synchronisation (ERD/ERS) patterns within the alpha band in Alzheimers disease as observed in experimental studies. ERD is an amplitude attenuation of certain EEG rhythms when an event is initiated or while a certain event is taking place in the brain. ERS is an amplitude enhancement of a certain EEG rhythm when cortical areas are not specifically engaged in a given mode of activity at a certain instant of time. EEG desynchronisation normally blocks alpha rhythms in the EEG due to sensory processing or behaviour. The results show that a decrease in synaptic connectivity induces a time lag in both ERD and ERS peaks in the model output. Furthermore, a deficiency induced in the inhibitory cholinergic pathway results in a distinct effect on time to peak in the ERD/ERS response. These observations are consistent with experimental findings in AD. Variation of the level of interconnectivity has a pronounced effect on the ERS behaviour of the model whilethe excitatory connectivity in the retino-geniculate pathway during the resting state is more influential on the ERD behaviour.","['Basabdatta Sen Bhattacharya', 'Damien Coyle', 'Liam P. Maguire']"
0,"The development of a monitor based on guided-to-leaky-mode waveguide modulators is discussed. Recent changes in design are described including the use of grating input couplers to reduce the cost of the entire bill of materials to under one thousand dollars, a collinear surface acoustic wave and input optical wave geometry that improves efficiency of output coupling, and a chassis redesign based on 3D printed and laser cut materials that is more vibration resistant and transportable. Future work is briefly noted.","['Scott Gneiting', 'Daniel E. Smalley', 'Kamran Qaderi', 'Andrew Henrie', 'Benjamin Haymore', 'Stephen McLaughlin', 'Jacob Kimball', 'Christopher Leach', 'Taylor DeGraw']"
18,"In this paper, we propose a uniform quantization likelihood evaluation (UQLE) algorithm for particle filters (PFs). This algorithm simplifies the exact likelihood evaluation (ELE) algorithm, the most computationally demanding function in PFs, by using a uniform quantization scheme to generate approximated weights. Simulation results indicate that PFs using UQLE can achieve comparable or better accuracy than PFs using ELE. The software implementation of UQLE for the bearing-only tracking (BOT) model in fixed-point arithmetic with 32 quantized intervals achieves 39.5× average speedup over the software implementation of ELE. An Application-specific Instruction-set Processor instruction was designed to accelerate the UQLE algorithm in a hardware implementation. The custom instruction implementation of UQLE for the BOT model with 32 intervals achieves 23.0× average speedup over the software implementation on a general-purpose processor with 5 % additional gates.","['Qifeng Gan', 'J.M.P. Langlois', 'Yvon Savaria']"
3,"High power dissipation during scan-based logic BIST is a crucial problem that leads to over-testing. Although controlling test power of a circuit under test (CUT) to an appropriate level is strongly required, it is not easy to control test power in BIST. This paper proposes a novel power controlling method to control the toggle rate of the patterns to an arbitrary level by modifying pseudo random patterns generated by a TPG (Test Pattern Generator) of logic BIST. While many approaches have been proposed to control the toggle rate of the patterns, the proposed approach can provide higher fault coverage. Experimental results show that the proposed approach can control toggle rates to a predetermined target level and modified patterns can achieve high fault coverage without increasing test time.","['Takaaki Kato', 'Senling Wang', 'Yasuo Sato', 'Seiji Kajihara', 'Xiaoqing Wen']"
